strawperson,sex,car,date,Age,ID_hash,comm_type,whr,beauty
A,female,no,11/28/15,29,7ed94a5811efa0b9154dcdd99ffd40e0,match,0.7,7
A,female,no,11/28/15,32,a56c6c1ccaf387f8657429ce4fd2dc24,match,0.7,7
A,female,no,11/28/15,29,c3a2af30bde2fd25f0e1ce2c55724c61,match,0.7,7
A,female,no,11/28/15,30,7ce96860ba375de358e226aafcb2a386,match,0.7,7
A,female,no,11/28/15,29,2af9755a721f96a15c53365cb1d5a759,match,0.7,7
A,female,no,11/28/15,31,84415c190eea70a214a396c0927c47ca,match,0.7,7
A,female,no,11/28/15,37,0bf6ab63fbc33e2d3a66cb520db3c20f,match,0.7,7
A,female,no,11/28/15,26,9859118d69577f4558b670d762f0cc5c,match,0.7,7
A,female,no,11/28/15,32,f7f56fa853f4c750b399e0b166230f6d,match,0.7,7
A,female,no,11/28/15,22,9eb1d14e979d193ac20b417954fcbb0d,match,0.7,7
A,female,no,11/28/15,33,7ce96860ba375de358e226aafcb2a386,match,0.7,7
A,female,no,11/28/15,24,28b796588044e7e5fe24652ca44c54b7,match,0.7,7
A,female,no,11/28/15,36,d7f023fb6f2afe4562c1e9bb9cfd0e6d,match,0.7,7
A,female,no,11/28/15,35,7c74df2e2d9cdb5b7e0da1a120e5f3c5,match,0.7,7
A,female,no,11/28/15,28,587abfcecbb2ce18d511304d66b639ae,match,0.7,7
A,female,no,11/28/15,23,fe1214be8690395d9186d0210dad3db4,match,0.7,7
A,female,no,11/28/15,26,5736beda3a34f457cdb6f98855f75b36,match,0.7,7
A,female,no,11/28/15,26,5d9353791464cb8450fa595dfc1f9d05,match,0.7,7
A,female,no,11/28/15,26,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/28/15,38,3b1a0ad3d262ef576e88edf5606184e5,match,0.7,7
A,female,no,11/28/15,25,873df4cd65005383fc6fdedf017a442a,match,0.7,7
A,female,no,11/28/15,38,2af9755a721f96a15c53365cb1d5a759,match,0.7,7
A,female,no,11/28/15,30,1b49bfa9fd978ebf8b6c3fcf7cfe92af,match,0.7,7
A,female,no,11/28/15,34,f1104ca72ccf3fb328cd4343038cdefe,match,0.7,7
A,female,no,11/28/15,27,4202105306d2d354e56e5e08a084441b,match,0.7,7
A,female,no,11/28/15,37,228ee6cdf7c9f9b515c8fb888a165d67,match,0.7,7
A,female,no,11/28/15,26,1ee84f313fb0d902897526e756aaa944,match,0.7,7
A,female,no,11/28/15,26,68b5461f995e654e67d5787d6cec2708,match,0.7,7
A,female,no,11/28/15,34,d0e0f2f4b24e1bbc8d2bcb7fea909485,match,0.7,7
A,female,no,11/28/15,25,c3a2af30bde2fd25f0e1ce2c55724c61,match,0.7,7
A,female,no,11/28/15,32,577728f97a4f082fab0cdd9dd212773e,match,0.7,7
A,female,no,11/28/15,34,302458aaa8d3d557ed4b873295a5e19f,match,0.7,7
A,female,no,11/28/15,31,b61669e20417b196efc7a22cb851ff32,match,0.7,7
A,female,no,11/28/15,35,f1104ca72ccf3fb328cd4343038cdefe,match,0.7,7
A,female,no,11/28/15,38,98be12c00195665796464c75e9c3ee91,match,0.7,7
A,female,no,11/28/15,28,c707c8de30eb1b7bc9d3c7bf57796093,match,0.7,7
A,female,no,11/28/15,38,bf9ab347b5bcbba150585b384ec13b8c,match,0.7,7
