district_nr,district_name,parent_district_nr,registered_voters_1,registered_voters_2,registered_voters_3,registered_voters_4,votes_1,votes_2,votes_3,votes_4,votes_unvalid_1,votes_unvalid_2,votes_unvalid_3,votes_unvalid_4,votes_valid_1,votes_valid_2,votes_valid_3,votes_valid_4,CDU_1,CDU_2,CDU_3,CDU_4,SPD_1,SPD_2,SPD_3,SPD_4,Linke_1,Linke_2,Linke_3,Linke_4,Gruene_1,Gruene_2,Gruene_3,Gruene_4,CSU_1,CSU_2,CSU_3,CSU_4,FDP_1,FDP_2,FDP_3,FDP_4,AfD_1,AfD_2,AfD_3,AfD_4,Piraten_1,Piraten_2,Piraten_3,Piraten_4,NPD_1,NPD_2,NPD_3,NPD_4,FW_1,FW_2,FW_3,FW_4,Mensch_1,Mensch_2,Mensch_3,Mensch_4,ÖDP_1,ÖDP_2,ÖDP_3,ÖDP_4,Arbeit_1,Arbeit_2,Arbeit_3,Arbeit_4,Bayern_1,Bayern_2,Bayern_3,Bayern_4,Volk_1,Volk_2,Volk_3,Volk_4,Vernunft_1,Vernunft_2,Vernunft_3,Vernunft_4,MLPD_1,MLPD_2,MLPD_3,MLPD_4,Soli_1,Soli_2,Soli_3,Soli_4,Sozialist_1,Sozialist_2,Sozialist_3,Sozialist_4,Rechte_1,Rechte_2,Rechte_3,Rechte_4,ADD_1,ADD_2,ADD_3,ADD_4,Alli_1,Alli_2,Alli_3,Alli_4,berg_1,berg_2,berg_3,berg_4,Grueink_1,Grueink_2,Grueink_3,Grueink_4,Demo_1,Demo_2,Demo_3,Demo_4,DKP_1,DKP_2,DKP_3,DKP_4,Mitte_1,Mitte_2,Mitte_3,Mitte_4,Graue_1,Graue_2,Graue_3,Graue_4,Urbane_1,Urbane_2,Urbane_3,Urbane_4,Garten_1,Garten_2,Garten_3,Garten_4,Welt_1,Welt_2,Welt_3,Welt_4,Huma_1,Huma_2,Huma_3,Huma_4,Gesund_1,Gesund_2,Gesund_3,Gesund_4,V-Partei_1,V-Partei_2,V-Partei_3,V-Partei_4,Bund_C_1,Bund_C_2,Bund_C_3,Bund_C_4,Einheit_1,Einheit_2,Einheit_3,Einheit_4,Violetten_1,Violetten_2,Violetten_3,Violetten_4,Familien_1,Familien_2,Familien_3,Familien_4,Frauen_1,Frauen_2,Frauen_3,Frauen_4,Mieter_1,Mieter_2,Mieter_3,Mieter_4,Neue_Lib_1,Neue_Lib_2,Neue_Lib_3,Neue_Lib_4,Unabh_1,Unabh_2,Unabh_3,Unabh_4,sonstige_1,sonstige_2,sonstige_3,sonstige_4
150,Märkischer Kreis II,5,200562,206189,200562,206189,145496,145197,145496,145197,3404,1695,1289,1637,142092,143502,144207,143560,53715,59768,49065,59536,54888,59821,37189,46318,11113,6926,9425,8463,5357,4498,7056,7971,NA,NA,NA,NA,15221,2792,19327,6431,NA,4709,16682,7122,NA,3114,606,3284,NA,1874,354,1620,NA,NA,420,389,NA,NA,1260,NA,NA,NA,133,145,NA,NA,926,625,NA,NA,NA,NA,NA,NA,187,363,NA,NA,NA,109,NA,NA,56,47,NA,NA,NA,18,NA,NA,15,31,NA,NA,NA,27,NA,NA,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,136,NA,NA,NA,15,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,191,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1798,NA,NA,1061
5,Nordrhein-Westfalen,99,13174480,13253554,13174480,13253554,9939403,9605247,9939403,9605247,124949,132654,85785,107090,9814454,9472593,9853618,9498157,3756833,4148811,3214208,3776563,3074008,3472520,2558224,3028282,626694,483918,736898,582925,641388,606235,745082,760642,NA,NA,NA,NA,787317,228962,1292744,498027,799713,171511,928323,372258,28155,220636,43670,209507,NA,95784,21429,94291,26195,18250,27760,25127,NA,NA,73775,NA,5332,2431,12045,12978,38599,5192,81165,37776,NA,NA,NA,NA,6315,1748,9894,17622,NA,NA,NA,6888,10520,4599,6455,4600,NA,1377,NA,1975,NA,NA,857,2155,NA,NA,NA,2245,NA,NA,41178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9992,NA,NA,NA,12182,NA,1279,NA,2238,NA,NA,NA,9852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5989,NA,NA,NA,9094,NA,NA,NA,10564,NA,NA,NA,NA,NA,NA,NA,NA,NA,984,NA,NA,NA,NA,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11122,10158,NA,64296
151,Nordsachsen,14,163765,168695,163765,168695,118176,112071,118176,112071,1738,2610,1620,1908,116438,109461,116556,110163,38207,49906,34320,49473,16259,22316,14522,16970,20020,23843,17165,22696,3071,3399,3025,3144,NA,NA,NA,NA,7642,2276,9190,2912,31239,NA,31302,6762,NA,2149,397,2141,NA,5572,1788,4272,NA,NA,1273,1158,NA,NA,1712,NA,NA,NA,167,NA,NA,NA,891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,104,NA,NA,60,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394
152,Leipzig I,14,220654,210456,220654,210456,161423,138427,161423,138427,1646,2028,1486,1633,159777,136399,159937,136794,43915,54566,37625,50481,26332,29511,20677,25286,31132,31923,31137,29122,8734,7683,11300,9466,NA,NA,NA,NA,9073,2307,13563,4028,32702,NA,33289,8394,NA,4043,854,4362,NA,4489,1169,3246,1876,NA,1438,1309,NA,NA,2876,NA,NA,NA,336,NA,4173,NA,3209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,203,550,1877,241,408,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,NA,NA,NA,767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956,NA,NA,489
153,Leipzig II,14,227718,219865,227718,219865,175206,153935,175206,153935,1565,2075,1408,1748,173641,151860,173798,152187,42778,52077,38124,49553,23786,35515,22741,28778,43948,37750,39090,34302,17272,13732,18136,17075,NA,NA,NA,NA,10053,2237,14845,4583,25970,NA,27769,7702,1327,3914,972,5897,NA,3096,676,2207,2034,NA,1306,1137,NA,NA,2550,NA,NA,NA,371,NA,5192,2347,4212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,261,221,380,1192,199,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173,NA,NA,NA,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,NA,NA,383
154,Leipzig-Land,14,215522,220400,215522,220400,161340,151537,161340,151537,2334,2797,1948,2332,159006,148740,159392,149205,54152,76273,47943,68348,18221,23542,18139,22681,24801,31865,23368,29716,6219,4905,5157,4899,NA,NA,NA,NA,10048,2890,12859,4292,45565,NA,42824,9562,NA,3199,505,2905,NA,6066,1793,4513,NA,NA,1580,1485,NA,NA,2298,NA,NA,NA,251,NA,NA,NA,1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,137,NA,NA,100,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495
155,Meißen,14,201205,207261,201205,207261,152987,145679,152987,145679,2044,2706,2068,2490,150943,142973,150919,143189,55328,76666,39406,64622,13483,18090,13146,18024,19125,25279,20112,26735,5050,4817,5531,5721,NA,NA,NA,NA,7992,3461,13156,5253,46770,NA,49618,10195,NA,3600,583,3252,1925,6463,2283,5588,NA,NA,1579,1887,NA,NA,2119,NA,NA,NA,389,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,136,1270,1618,313,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,NA,NA,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2979,NA,1282
156,Bautzen I,14,214033,223726,214033,223726,161319,155255,161319,155255,2452,3252,2486,3242,158867,152003,158833,152013,48575,74794,42992,69335,15835,17268,14377,18502,24222,32452,22596,30290,3246,3709,3768,4249,NA,NA,NA,NA,9247,3948,12113,4723,52767,NA,52040,10811,NA,3035,601,3109,NA,7270,2381,6271,3562,4517,2566,3470,NA,NA,2170,NA,NA,NA,435,NA,NA,NA,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,146,636,NA,233,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,5010,NA,905
157,Görlitz,14,212796,223614,212796,223614,156087,152944,156087,152944,2456,3261,2374,2983,153631,149683,153713,149961,48251,74204,40999,66106,16800,22741,14247,18839,20851,29550,21534,29380,4994,5045,4475,5044,NA,NA,NA,NA,7661,2442,10810,4185,49832,NA,50553,12331,NA,3878,516,3259,NA,8323,2336,6360,3521,NA,2463,2577,NA,NA,2283,NA,NA,NA,367,NA,NA,NA,1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,172,1721,2069,361,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,1023
158,Sächsische Schweiz-Osterzgebirge,14,202524,207752,202524,207752,156341,147427,156341,147427,2447,2656,1970,2452,153894,144771,154371,144975,44353,72644,39576,66673,11098,15442,12037,15865,22615,27571,19711,24848,4573,4244,4643,5158,NA,NA,NA,NA,9932,2628,12794,4655,57553,NA,54746,11417,NA,2779,483,2980,NA,9625,2875,7370,NA,8382,2186,4705,NA,NA,1975,NA,NA,NA,456,NA,NA,NA,1278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,112,2320,1456,437,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,NA,NA,670
159,Dresden I,14,232636,233382,232636,233382,182847,173167,182847,173167,2238,2802,1779,2031,180609,170365,181068,171136,44336,72537,44049,68192,23863,25321,19238,26440,38001,42599,31062,32505,11758,10429,13920,13517,NA,NA,NA,NA,13590,3305,18601,5243,40369,NA,41796,11814,1866,5217,1210,6086,995,5196,1290,3888,NA,4316,1367,2413,NA,NA,2199,NA,1486,NA,999,NA,3676,NA,3023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,179,669,1180,318,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,NA,NA,NA,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,402
160,Dresden II – Bautzen II,14,235455,235691,235455,235691,186818,173489,186818,173489,2150,3091,1682,2296,184668,170398,185136,171193,47183,71227,42791,66092,20589,25150,17973,23943,32395,32588,32035,31059,15832,16650,16587,16304,NA,NA,NA,NA,12842,3471,17683,5405,41197,NA,43119,11930,2696,7841,1500,7508,1160,5849,1371,4590,2768,6216,1927,3250,NA,NA,2530,NA,2141,NA,1100,NA,4994,NA,3847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,554,255,273,499,852,218,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,NA,NA,NA,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439
161,Mittelsachsen,14,201560,210677,201560,210677,150647,145578,150647,145578,1980,2592,1760,2204,148667,142986,148887,143374,48227,74209,41190,64971,17785,22079,14494,19070,20783,29079,21579,29525,4624,4583,4110,4703,NA,NA,NA,NA,8651,3203,11598,4933,46825,NA,46521,8997,NA,3131,651,3042,NA,6702,2137,5305,NA,NA,1548,1848,NA,NA,1957,NA,NA,NA,350,NA,NA,NA,1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,139,1772,NA,383,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,NA,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634
162,Chemnitz,14,195929,201249,195929,201249,147233,135876,147233,135876,1666,1701,1345,1348,145567,134175,145888,134528,38652,55909,36269,52380,22413,28101,17374,23558,28229,31992,28017,31014,6157,6475,6818,7168,NA,NA,NA,NA,9536,2724,12164,3865,34954,NA,35456,8138,1403,2808,872,3298,NA,4661,1172,3135,NA,NA,1068,1081,NA,NA,2042,NA,NA,NA,309,NA,3434,1505,2746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,184,789,NA,255,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537
163,Chemnitzer Umland – Erzgebirgskreis II,14,183307,191550,183307,191550,138884,134560,138884,134560,2219,3115,1716,2125,136665,131445,137168,132435,48010,65157,41944,59939,14141,20517,14521,19178,23175,28783,20973,26434,4609,4874,3851,4282,NA,NA,NA,NA,10343,3006,10541,3594,36387,NA,36741,9636,NA,2903,512,2522,NA,6205,1686,4307,NA,NA,1837,1760,NA,NA,1828,NA,NA,NA,290,NA,NA,NA,1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,121,NA,NA,86,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
164,Erzgebirgskreis I,14,220896,232499,220896,232499,166736,161718,166736,161718,3189,3800,2774,2968,163547,157918,163962,158750,56719,79318,50761,73098,14714,19143,15421,20114,24800,32472,23117,30741,4334,5051,3661,3964,NA,NA,NA,NA,11819,10246,12104,5828,49461,NA,47948,12119,NA,3263,530,3008,NA,8425,2727,6398,NA,NA,2343,2551,NA,NA,2354,NA,NA,NA,378,NA,NA,NA,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,133,NA,NA,98,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,613
165,Zwickau,14,207606,217679,207606,217679,150946,148305,150946,148305,7562,2723,2129,2251,143384,145582,148817,146054,48353,64857,45106,64872,18219,23033,16131,21686,36881,35847,24665,31061,6511,4334,4328,4653,NA,NA,NA,NA,19180,3996,11252,3924,NA,NA,38955,8878,NA,2744,464,2589,NA,5918,1302,4664,NA,3823,1664,2690,NA,NA,2157,NA,NA,NA,304,NA,NA,NA,1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,175,NA,1030,105,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14240,NA,NA,478
166,Vogtlandkreis,14,193063,201934,193063,201934,142789,138790,142789,138790,2463,2656,1958,2095,140326,136134,140831,136695,49094,65743,42593,60466,15529,28172,16038,21885,21813,26707,22570,27617,5290,3540,4262,4569,NA,NA,NA,NA,7832,3533,10138,3836,36425,NA,37218,9095,NA,2746,415,2603,NA,5693,1448,4322,NA,NA,1298,1537,NA,NA,2050,NA,NA,NA,311,NA,NA,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,129,NA,NA,79,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4343,NA,NA,488
14,Sachsen,99,3328669,3406430,3328669,3406430,2509779,2368758,2509779,2368758,40149,43865,30503,36106,2469630,2324893,2479276,2332652,756133,1080087,665688,994601,289067,375941,261076,340819,432791,500300,398731,467045,112274,103470,113572,113916,NA,NA,NA,NA,165441,55673,203411,71259,628016,NA,669895,157781,7292,57250,11065,58561,4080,99553,28434,76436,13761,27254,27443,34858,NA,NA,35100,NA,3627,NA,6813,NA,21469,3852,32014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,554,2573,2564,10606,11274,3486,5076,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9453,NA,NA,NA,6461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23960,9685,NA,9736
167,Waldeck,6,186825,189728,186825,189728,142857,138632,142857,138632,2219,4931,2127,4216,140638,133701,140730,134416,47269,55444,42231,49063,49341,55217,43446,48420,8600,7253,9891,7356,8062,8486,9659,10872,NA,NA,NA,NA,9930,3579,13918,6452,15438,NA,16410,6774,NA,3177,507,2242,NA,NA,441,1159,1911,NA,1270,1013,NA,NA,1327,NA,NA,NA,128,NA,NA,NA,888,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,33,NA,NA,19,47,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,545,NA,389
168,Kassel,6,222451,224555,222451,224555,167847,160695,167847,160695,2579,5232,2452,4216,165268,155463,165395,156479,44420,54674,41733,48361,58752,62178,46763,53232,14472,13066,18677,13680,15470,16559,18938,19884,NA,NA,NA,NA,9759,3192,15046,6259,16500,NA,17286,7977,1222,4624,805,3575,NA,NA,417,1218,1312,NA,1001,839,NA,NA,1590,NA,NA,NA,224,NA,2180,NA,1580,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,325,184,165,NA,NA,29,51,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,845,NA,353
169,Werra-Meißner – Hersfeld-Rotenburg,6,175992,180203,175992,180203,133740,131446,133740,131446,2513,4632,2677,4193,131227,126814,131063,127253,39300,51386,38529,45872,54030,54630,42734,46913,7281,7277,8746,7584,5236,6333,7843,8868,NA,NA,NA,NA,6597,2513,11096,5014,16408,NA,17173,7096,NA,2283,429,1954,NA,2392,601,2013,2375,NA,1238,961,NA,NA,1021,NA,NA,NA,139,NA,NA,NA,855,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,41,NA,NA,29,55,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306
