timestamp,code,i01,i02r,i03,i04,i05,i06r,i07,i08,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,i21,extra_vignette2,major,smoker,sleep_week,sleep_wend,clients_freq,extra_mean,extra_md,extra_aad,extra_mode,extra_iqr
15.09.2015 22:21:00,SDS,3,3,2,3,3,3,3,4,3,1,189,5,29,Frau,4,7,nein,12,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.8,3,0.5200000000000001,3,0
15.09.2015 23:00:23,aab,4,4,1,3,3,3,3,4,4,4,250,0,40,Mann,4,10,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.3,3.5,0.7,4,1
16.09.2015 10:09:06,RVM,4,4,3,4,4,2,3,4,3,1,360,15,19,Frau,3,5,nein,40,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,3.2,3.5,0.8,4,1
16.09.2015 13:11:32,MWM,4,4,3,4,4,2,4,2,1,2,NA,0,22,Frau,3,NA,nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,1,4,2
18.09.2015 09:56:50,JDF,4,4,1,4,3,3,3,2,4,2,350,3,21,Frau,4,NA,ja,7,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3,3,0.8,4,1.75
18.09.2015 20:59:42,dhn,4,3,2,4,4,4,3,4,4,4,550,15,24,Frau,4,3,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.6,4,0.5599999999999999,4,0.75
19.09.2015 11:07:20,ABS,3,2,3,3,3,3,4,3,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.2,3,0
20.09.2015 13:36:13,JBM,4,3,2,3,4,3,4,3,4,1,278,4,24,Frau,4,5,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.72,3,1
20.09.2015 18:46:14,GSR,3,3,2,3,2,3,3,2,3,2,150,2,22,Frau,3,5,ja,12,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.6,3,0.48,3,1
20.09.2015 22:04:56,VSM,4,3,2,4,4,3,3,4,3,2,500,0,19,Frau,4,1,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3,0.64,3,1
20.09.2015 22:05:20,FEG,4,4,4,4,4,4,4,4,4,4,892,12,21,Mann,3,1,nein,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,4,4,0,4,0
20.09.2015 22:05:20,GMI,3,4,2,3,3,3,2,3,4,2,388,30,25,Frau,4,10,nein,35,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.9,3,0.54,3,0.75
20.09.2015 22:08:09,CML,4,4,2,3,3,2,4,4,4,2,300,30,25,Frau,4,10,nein,40,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3.5,0.8,4,1.75
20.09.2015 22:12:50,SNI,3,4,1,4,3,3,3,3,3,1,250,12,20,Frau,4,5,nein,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0.7200000000000001,3,0
20.09.2015 22:16:20,GGE,4,4,2,3,4,4,3,3,4,3,420,15,24,Frau,4,10,nein,12,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA,3,3.4,3.5,0.6,4,1
20.09.2015 23:06:33,SBM,4,4,2,3,3,4,3,3,3,2,236,1,23,Frau,4,5,nein,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.54,3,0.75
21.09.2015 10:36:16,RMM,3,3,1,3,3,3,2,4,4,1,300,25,20,Frau,2,20,nein,30,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.7,3,0.82,3,0.75
21.09.2015 19:39:58,MMB,3,4,1,3,4,4,3,4,4,2,430,5,23,Frau,4,5,nein,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.2,3.5,0.8,4,1
